,,1,2,3,4,5,6,7,8,,,,2.449489743
0.97600001,0,,,,,,,,,,,0,#DIV/0!
0.028,0,,,,,,,,,,,0,#DIV/0!
0.28400001,0,,,,,,,,,,,0,#DIV/0!
0.88800001,0,,,,,,,,,,,0,#DIV/0!
0.69199997,0,,,,,,,,,,,0,#DIV/0!
0.116,0,,,,,,,,,,,0,#DIV/0!
0.292,0,0.32800001,0.324,0.324,0.31600001,0.33199999,0.32800001,0.31200001,0.292,0.292,0.316444448,0,0.014291498
0.5,0,0.51200002,0.51200002,0.51200002,0.49599999,0.5,0.50400001,0.53200001,0.53600001,0.49599999,0.511111119,0,0.013698704
0.972,0,0.98000002,0.98400003,0.98400003,0.98000002,0.98000002,0.98000002,0.97600001,0.972,0.972,0.978666683,0,0.004216381
0.028,0,0.024,0.016,0.016,0.016,0.02,0.02,0.02,0.024,0.016,0.019111111,0,0.003142697
0.30000001,0,0.308,0.308,0.30399999,0.30000001,0.30000001,0.308,0.308,0.308,0.30000001,0.304888891,0,0.003664979
0.884,0,0.912,0.90399998,0.89999998,0.89999998,0.86799997,0.86799997,0.86400002,0.86400002,0.86400002,0.88266666,0,0.019413619
0.69599998,0,0.68000001,0.676,0.68000001,0.68000001,0.68000001,0.68400002,0.68400002,0.68800002,0.676,0.6808889,0,0.00366499
0.13600001,0,0.112,0.104,0.084,0.068,0.08,0.092,0.104,0.112,0.068,0.091555556,0,0.016486433
0.31200001,0,0.34,0.34400001,0.34799999,0.34400001,0.32800001,0.34,0.32800001,0.34400001,0.32800001,0.338222228,0,0.007568613
0.53600001,0,0.51200002,0.50800002,0.51599997,0.53600001,0.52399999,0.54000002,0.528,0.50800002,0.50800002,0.520000008,0,0.011775679
0.96799999,0,0.972,0.97600001,0.98000002,0.97600001,0.97600001,0.97600001,0.972,0.97600001,0.972,0.975111119,0,0.002514164
0.036,0,0.028,0.028,0.02,0.02,0.024,0.024,0.024,0.024,0.02,0.023555556,0,0.002948111
0.308,0,0.30000001,0.308,0.30000001,0.296,0.292,0.30000001,0.30000001,0.30399999,0.292,0.299111114,0,0.004909049
0.884,0,0.89200002,0.88800001,0.89200002,0.88800001,0.89600003,0.884,0.884,0.884,0.884,0.88800001,0,0.004216381
0.69999999,0,0.68800002,0.69999999,0.69199997,0.68000001,0.69199997,0.68000001,0.68800002,0.69599998,0.68000001,0.688444442,0,0.006913921
0.132,0,0.088,0.108,0.116,0.116,0.12,0.112,0.112,0.104,0.088,0.107111111,0,0.011119996
0.32800001,0,0.31999999,0.336,0.35600001,0.37200001,0.352,0.34400001,0.34,0.352,0.31999999,0.343555557,0,0.015938158
0.53200001,0,0.57599998,0.52399999,0.53600001,0.51200002,0.528,0.52399999,0.54799998,0.52399999,0.51200002,0.531555553,0,0.018898027
0.972,0,0.97600001,0.972,0.96799999,0.96799999,0.95999998,0.96799999,0.95999998,0.96799999,0.95999998,0.966666657,0,0.005333343
0.032,0,0.024,0.024,0.028,0.028,0.032,0.036,0.032,0.036,0.024,0.029333333,0,0.004618802
0.308,0,0.264,0.25600001,0.25600001,0.25999999,0.27200001,0.26800001,0.30000001,0.296,0.25600001,0.269777783,0,0.016012341
0.88,0,0.88,0.88,0.88800001,0.88800001,0.89200002,0.89999998,0.90799999,0.89600003,0.88,0.890222227,0,0.00925896
0.69599998,0,0.68000001,0.676,0.69199997,0.68800002,0.68000001,0.68400002,0.68000001,0.68800002,0.676,0.682666673,0,0.005333331
0.116,0,0.104,0.124,0.112,0.108,0.096,0.092,0.1,0.096,0.092,0.102666667,0,0.009977753
0.33199999,0,0.36399999,0.368,0.35600001,0.35600001,0.36399999,0.34400001,0.33199999,0.336,0.33199999,0.350222221,0,0.013611906
0.50400001,0,0.56,0.55199999,0.53600001,0.54400003,0.55599999,0.57200003,0.56800002,0.588,0.53600001,0.556888898,0,0.016305721
0.97600001,0,0.98000002,0.97600001,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.973333337,0,0.002666673
0.024,0,0.016,0.016,0.024,0.028,0.024,0.028,0.024,0.028,0.016,0.022666667,0,0.004988877
0.308,0,0.252,0.25600001,0.25600001,0.25600001,0.25999999,0.264,0.264,0.26800001,0.252,0.25866667,0,0.005333333
0.87599999,0,0.87599999,0.87199998,0.86400002,0.86400002,0.87199998,0.87199998,0.884,0.88,0.86400002,0.871999999,0,0.006798684
0.708,0,0.68000001,0.676,0.676,0.68400002,0.68800002,0.68000001,0.68400002,0.68000001,0.676,0.680444454,0,0.00397524
0.116,0,0.104,0.108,0.104,0.104,0.096,0.096,0.096,0.1,0.096,0.100444444,0,0.004399776
0.31600001,0,0.37599999,0.37200001,0.36399999,0.35600001,0.36399999,0.34799999,0.34,0.33199999,0.33199999,0.353777773,0,0.015675728
0.5,0,0.588,0.59600002,0.59200001,0.588,0.58399999,0.57200003,0.58399999,0.57599998,0.57200003,0.583555561,0,0.00809816
0.98000002,0,0.97600001,0.97600001,0.97600001,0.97600001,0.97600001,0.98000002,0.98000002,0.98000002,0.97600001,0.977333347,0,0.001885623
0.02,0,0.02,0.02,0.02,0.02,0.024,0.024,0.016,0.016,0.016,0.019555556,0,0.002948111
0.308,0,0.25999999,0.248,0.25600001,0.25999999,0.25999999,0.25600001,0.25600001,0.25600001,0.248,0.255555557,0,0.004399773
0.87199998,0,0.86799997,0.86799997,0.86400002,0.87199998,0.86799997,0.87199998,0.87199998,0.87199998,0.86400002,0.868888874,0,0.003142684
0.68800002,0,0.69599998,0.68800002,0.68400002,0.676,0.68400002,0.68400002,0.68800002,0.68000001,0.676,0.68400001,0,0.005962846
0.12,0,0.124,0.124,0.104,0.116,0.116,0.12,0.108,0.104,0.104,0.113333333,0,0.008
0.324,0,0.34799999,0.36399999,0.34799999,0.35600001,0.34400001,0.34400001,0.33199999,0.35600001,0.33199999,0.34711111,0,0.010115386
0.49599999,0,0.59600002,0.59200001,0.57599998,0.56800002,0.60000002,0.57999998,0.588,0.60000002,0.56800002,0.585333341,0,0.012073851
0.98000002,0,0.96799999,0.96799999,0.96799999,0.96799999,0.96799999,0.96799999,0.972,0.97600001,0.96799999,0.969333327,0,0.002666673
0.02,0,0.028,0.032,0.032,0.028,0.028,0.032,0.036,0.028,0.028,0.030222222,0,0.00273974
0.308,0,0.23999999,0.244,0.252,0.25600001,0.26800001,0.26800001,0.264,0.25999999,0.23999999,0.254666667,0,0.010666672
0.86400002,0,0.86799997,0.86799997,0.86400002,0.86400002,0.86000001,0.86400002,0.86400002,0.86000001,0.86000001,0.863555561,0,0.002948098
0.69599998,0,0.67199999,0.676,0.68000001,0.68000001,0.68800002,0.69599998,0.68800002,0.704,0.67199999,0.684000002,0,0.010327956
0.116,0,0.1,0.112,0.108,0.108,0.112,0.112,0.116,0.112,0.1,0.108888889,0,0.005258738
0.324,0,0.33199999,0.33199999,0.32800001,0.336,0.32800001,0.34,0.36000001,0.34400001,0.32800001,0.336444448,0,0.009878273
0.51200002,0,0.58399999,0.60399997,0.61199999,0.60000002,0.61199999,0.616,0.60000002,0.60399997,0.58399999,0.601777771,0,0.010850271
0.98000002,0,0.97600001,0.97600001,0.972,0.97600001,0.97600001,0.98000002,0.97600001,0.97600001,0.972,0.975555564,0,0.002266237
0.02,0,0.02,0.024,0.024,0.028,0.024,0.024,0.016,0.02,0.016,0.021777778,0,0.003823256
0.308,0,0.23199999,0.23199999,0.23199999,0.23999999,0.236,0.23999999,0.236,0.236,0.23199999,0.235111104,0,0.003142698
0.86400002,0,0.84799999,0.84799999,0.852,0.86000001,0.852,0.86000001,0.85600001,0.86000001,0.84799999,0.853777779,0,0.005028323
0.68800002,0,0.66399997,0.66799998,0.66399997,0.66000003,0.66799998,0.66399997,0.676,0.67199999,0.66000003,0.666222213,0,0.005028308
0.12,0,0.096,0.1,0.1,0.104,0.108,0.112,0.112,0.112,0.096,0.104444444,0,0.006378978
0.32800001,0,0.336,0.34,0.34,0.32800001,0.32800001,0.34400001,0.35600001,0.34400001,0.32800001,0.338222229,0,0.008866639
0.51200002,0,0.57999998,0.57999998,0.57200003,0.56400001,0.55599999,0.54000002,0.56400001,0.58399999,0.54000002,0.564444448,0,0.015599926
0.98400003,0,0.97600001,0.972,0.972,0.97600001,0.98000002,0.98000002,0.98000002,0.98000002,0.972,0.976444456,0,0.003499568
0.016,0,0.024,0.024,0.028,0.032,0.024,0.02,0.02,0.02,0.02,0.023555556,0,0.003975232
0.30000001,0,0.236,0.236,0.236,0.236,0.236,0.23199999,0.23199999,0.23199999,0.23199999,0.234222218,0,0.001987621
0.86799997,0,0.84799999,0.85600001,0.85600001,0.85600001,0.86400002,0.85600001,0.86000001,0.852,0.84799999,0.855111117,0,0.004909058
0.68400002,0,0.66799998,0.676,0.67199999,0.676,0.676,0.68800002,0.67199999,0.66799998,0.66799998,0.673777771,0,0.005995896
0.112,0,0.108,0.12,0.108,0.1,0.088,0.096,0.104,0.1,0.088,0.101333333,0,0.009614803
0.34799999,0,0.34799999,0.34400001,0.34799999,0.352,0.34799999,0.352,0.352,0.352,0.34400001,0.348888888,0,0.003142694
0.51200002,0,0.57599998,0.59200001,0.57999998,0.57999998,0.57200003,0.58399999,0.56800002,0.56,0.56,0.574666666,0,0.01015436
0.98400003,0,0.972,0.972,0.972,0.972,0.97600001,0.972,0.972,0.97600001,0.972,0.972888891,0,0.001662963
0.016,0,0.024,0.028,0.028,0.028,0.028,0.024,0.028,0.028,0.024,0.026666667,0,0.001885618
0.30000001,0,0.23999999,0.23999999,0.244,0.244,0.244,0.244,0.23999999,0.23999999,0.23999999,0.241777772,0,0.001987621
0.86799997,0,0.83600003,0.83999997,0.83200002,0.83999997,0.83999997,0.83999997,0.83999997,0.83999997,0.83200002,0.837777766,0,0.003325895
0.68400002,0,0.66399997,0.68000001,0.67199999,0.67199999,0.676,0.676,0.68000001,0.676,0.66399997,0.673333327,0,0.005656868
0.104,0,0.12,0.112,0.104,0.1,0.1,0.108,0.104,0.112,0.1,0.106666667,0,0.006531973
0.34400001,0,0.352,0.34799999,0.352,0.36000001,0.36000001,0.34,0.368,0.35600001,0.34,0.352888891,0,0.008799554
0.51599997,0,0.60399997,0.57200003,0.58399999,0.57599998,0.57599998,0.53200001,0.56800002,0.57200003,0.53200001,0.568444447,0,0.021863765
0.98000002,0,0.97600001,0.97600001,0.97600001,0.97600001,0.972,0.972,0.972,0.972,0.972,0.973777782,0,0.001987621
0.016,0,0.028,0.028,0.024,0.024,0.024,0.028,0.028,0.028,0.024,0.026222222,0,0.001987616
0.30399999,0,0.228,0.236,0.23199999,0.236,0.236,0.23199999,0.23999999,0.23999999,0.228,0.234222218,0,0.00426296
0.89999998,0,0.81199998,0.81199998,0.81199998,0.81599998,0.824,0.824,0.82800001,0.83200002,0.81199998,0.819111103,0,0.007489925
0.68000001,0,0.66000003,0.64399999,0.65200001,0.65600002,0.65600002,0.66000003,0.66000003,0.66399997,0.64399999,0.655111121,0,0.00674034
0.092,0,0.116,0.108,0.096,0.096,0.096,0.104,0.092,0.096,0.092,0.099555556,0,0.007646511
0.32800001,0,0.34,0.34799999,0.34,0.352,0.36000001,0.34400001,0.34400001,0.34799999,0.34,0.346222223,0,0.006285395
0.50800002,0,0.61199999,0.60000002,0.59200001,0.60000002,0.60399997,0.59600002,0.60399997,0.60399997,0.59200001,0.600444442,0,0.006093902
0.97600001,0,0.98000002,0.98000002,0.98000002,0.97600001,0.97600001,0.97600001,0.98000002,0.98000002,0.97600001,0.978222238,0,0.001987621
0.024,0,0.028,0.024,0.024,0.024,0.028,0.028,0.024,0.024,0.024,0.025333333,0,0.001885618
0.308,0,0.248,0.248,0.244,0.244,0.23999999,0.244,0.23999999,0.244,0.23999999,0.243555552,0,0.002948115
0.89999998,0,0.796,0.796,0.80800003,0.80400002,0.80400002,0.80800003,0.81199998,0.81599998,0.796,0.804444451,0,0.00691393
0.68000001,0,0.648,0.64399999,0.63999999,0.63999999,0.63999999,0.63599998,0.63999999,0.65200001,0.63599998,0.641777769,0,0.005028323
0.08,0,0.096,0.096,0.096,0.088,0.092,0.104,0.096,0.1,0.088,0.095111111,0,0.004909049
0.34,0,0.472,0.34799999,0.352,0.35600001,0.34400001,0.36000001,0.35600001,0.352,0.34400001,0.364888893,0,0.038217053
0.528,0,0.54000002,0.53200001,0.63999999,0.63999999,0.62,0.60799998,0.62800002,0.61199999,0.53200001,0.594666668,0,0.043695911
0.97600001,0,0.86000001,0.78399998,0.74800003,0.49200001,0.97600001,0.98000002,0.98000002,0.98000002,0.49200001,0.810222234,0,0.189597106
0.024,0,0.21600001,0.192,0.28799999,0.47600001,0.5,0.028,0.024,0.024,0.024,0.19688889,0,0.181556509
0.308,0,0.43599999,0.45199999,0.48800001,0.49599999,0.484,0.54400003,0.248,0.248,0.248,0.40488889,0,0.114430423
0.90399998,0,0.44800001,0.48800001,0.46399999,0.46399999,0.51200002,0.55599999,0.50800002,0.81199998,0.44800001,0.522222224,0,0.107696869
0.68000001,0,0.43599999,0.43200001,0.428,0.50800002,0.48800001,0.50800002,0.49599999,0.51599997,0.428,0.471111112,0,0.036698303
0.068,0,0.528,0.46399999,0.48800001,0.51599997,0.44800001,0.56,0.472,0.46000001,0.44800001,0.487111111,0,0.037083817
0.32800001,0,0.48800001,0.41999999,0.51200002,0.472,0.50800002,0.5,0.53200001,0.50800002,0.41999999,0.484444451,0,0.037780402
0.54000002,0,0.5,0.52399999,0.47999999,0.57200003,0.456,0.5,0.44800001,0.50400001,0.44800001,0.492444449,0,0.038014946
0.972,0,0.89999998,0.88,0.86000001,0.89200002,0.89200002,0.884,0.86000001,0.85600001,0.85600001,0.875555562,0,0.016593912
0.024,0,0.1,0.14399999,0.16,0.168,0.18000001,0.168,0.17200001,0.208,0.1,0.155555557,0,0.03375438
0.31200001,0,0.47600001,0.49200001,0.50800002,0.49200001,0.47999999,0.42399999,0.41600001,0.40400001,0.40400001,0.455111118,0,0.039856535
0.912,0,0.616,0.62400001,0.63599998,0.67199999,0.72799999,0.63999999,0.62800002,0.56400001,0.56400001,0.630222222,0,0.047669638
0.676,0,0.48800001,0.47999999,0.51999998,0.50800002,0.47999999,0.472,0.50400001,0.50400001,0.472,0.492000001,0,0.016438439
0.084,0,0.45199999,0.46399999,0.5,0.51599997,0.54799998,0.51599997,0.50400001,0.53600001,0.45199999,0.498666657,0,0.033359988
0.34400001,0,0.47600001,0.50800002,0.49599999,0.46399999,0.47600001,0.53200001,0.44400001,0.51200002,0.44400001,0.483555563,0,0.028933302
0.52399999,0,0.51599997,0.51200002,0.45199999,0.47999999,0.49200001,0.47999999,0.52399999,0.47600001,0.45199999,0.487111107,0,0.0247855
0.97600001,0,0.94800001,0.94400001,0.94400001,0.94,0.93599999,0.94,0.94,0.94,0.93599999,0.94088889,0,0.00366499
0.024,0,0.076,0.076,0.08,0.1,0.076,0.08,0.084,0.072,0.072,0.079555556,0,0.008098163
0.30399999,0,0.43599999,0.42399999,0.384,0.384,0.38,0.38,0.41600001,0.43599999,0.38,0.40222222,0,0.023785042
0.884,0,0.66000003,0.69999999,0.69999999,0.71200001,0.66799998,0.63599998,0.61199999,0.57999998,0.57999998,0.64977777,0,0.047967074
0.68000001,0,0.52399999,0.53200001,0.51599997,0.51999998,0.50400001,0.52399999,0.528,0.49599999,0.49599999,0.515555548,0,0.012850519
0.104,0,0.48800001,0.52399999,0.50800002,0.5,0.47600001,0.49200001,0.47999999,0.46799999,0.46799999,0.489333334,0,0.017788888
0.34799999,0,0.53600001,0.5,0.53600001,0.53200001,0.54000002,0.51200002,0.52399999,0.48800001,0.48800001,0.517333342,0,0.01977653
0.53600001,0,0.54799998,0.50800002,0.51999998,0.54400003,0.51599997,0.472,0.44,0.46799999,0.44,0.495111108,0,0.039090903
0.97600001,0,0.94400001,0.94,0.94400001,0.94400001,0.94800001,0.94800001,0.94400001,0.94800001,0.94,0.944444452,0,0.002948114
0.024,0,0.084,0.084,0.076,0.08,0.084,0.08,0.08,0.084,0.076,0.080888889,0,0.003142697
0.30000001,0,0.396,0.40400001,0.428,0.42399999,0.42399999,0.43599999,0.43599999,0.44,0.396,0.420444441,0,0.016378241
